Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.IO.Compression 4.3.0,,,,,"System.IO.Compression, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.IO.Compression.ZipFile 4.3.0,,,,,"System.IO.Compression.ZipFile, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.IO.FileSystem 4.3.0,,,,,"System.IO.FileSystem, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Linq 4.3.0,,,,,"System.Linq, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Linq.Expressions 4.3.0,,,,,"System.Linq.Expressions, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Net.Primitives 4.3.1,,,,,"System.Net.Primitives, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Net.Sockets 4.3.0,,,,,"System.Net.Sockets, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.ObjectModel 4.3.0,,,,,"System.ObjectModel, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Reflection 4.3.0,,,,,"System.Reflection, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Reflection.Extensions 4.3.0,,,,,"System.Reflection.Extensions, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Reflection.Primitives 4.3.0,,,,,"System.Reflection.Primitives, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Resources.Extensions 10.0.7,,,,,"System.Resources.Extensions, 10.0.7  Recommendation:  Remove System.Resources.Extensions, and replace with new package System.Resources.Extensions 10.0.10"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Resources.ResourceManager 4.3.0,,,,,"System.Resources.ResourceManager, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Runtime 4.3.1,,,,,"System.Runtime, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Runtime.Extensions 4.3.1,,,,,"System.Runtime.Extensions, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Runtime.InteropServices 4.3.0,,,,,"System.Runtime.InteropServices, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Runtime.InteropServices.RuntimeInformation 4.3.0,,,,,"System.Runtime.InteropServices.RuntimeInformation, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Runtime.Numerics 4.3.0,,,,,"System.Runtime.Numerics, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Security.Cryptography.Algorithms 4.3.1,,,,,"System.Security.Cryptography.Algorithms, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Security.Cryptography.X509Certificates 4.3.2,,,,,"System.Security.Cryptography.X509Certificates, 4.3.2  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.ServiceModel.Http 10.0.652802,,,,,"System.ServiceModel.Http, 10.0.652802  Recommendation:  Remove System.ServiceModel.Http, and replace with new package CoreWCF.Primitives 1.9.1, CoreWCF.ConfigurationManager 1.9.1, CoreWCF.Http 1.9.1, CoreWCF.WebHttp 1.9.1, CoreWCF.NetTcp 1.9.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.ServiceModel.NetTcp 10.0.652802,,,,,"System.ServiceModel.NetTcp, 10.0.652802  Recommendation:  Remove System.ServiceModel.NetTcp, and replace with new package CoreWCF.Primitives 1.9.1, CoreWCF.ConfigurationManager 1.9.1, CoreWCF.Http 1.9.1, CoreWCF.WebHttp 1.9.1, CoreWCF.NetTcp 1.9.1"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Text.Encoding 4.3.0,,,,,"System.Text.Encoding, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Text.Encoding.Extensions 4.3.0,,,,,"System.Text.Encoding.Extensions, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Text.Json 10.0.7,,,,,"System.Text.Json, 10.0.7  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.10"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Text.RegularExpressions 4.3.1,,,,,"System.Text.RegularExpressions, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Threading 4.3.0,,,,,"System.Threading, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Threading.Tasks 4.3.0,,,,,"System.Threading.Tasks, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Threading.Timer 4.3.0,,,,,"System.Threading.Timer, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Xml.ReaderWriter 4.3.1,,,,,"System.Xml.ReaderWriter, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Xml.XDocument 4.3.0,,,,,"System.Xml.XDocument, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,WPF-UI 4.3.0,,,,,"WPF-UI, 4.3.0  Recommendation:  WPF-UI, 2.0.3"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0-windows"
